Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Tampa,Florida,Orlando,FL,135.748,5042,"27.9505229,-82.4571556","28.5383735,-81.3789473"
Bolingbrook,IL,Tampa,Florida,1906.768,62543,"41.69864219999999,-88.068366","27.9505229,-82.4571556"
Fountain Inn,SC,Tampa,Florida,900.314,30167,"34.6889922,-82.19569600000001","27.9505229,-82.4571556"
Tampa,Florida,Lakeland,FL,55.775,2399,"27.9505229,-82.4571556","28.0396657,-81.9498371"
Arden,NC,Tampa,Florida,998.933,33658,"35.4661693,-82.51670299999999","27.9505229,-82.4571556"
Tampa,Florida,Saint Petersburg,FL,38.278,1593,"27.9505229,-82.4571556","27.7676006,-82.64015909999999"
Conyers,GA,Tampa,Florida,721.566,24010,"33.6677207,-84.01752239999999","27.9505229,-82.4571556"
Tampa,Florida,Sarasota,FL,96.562,3676,"27.9505229,-82.4571556","27.3364746,-82.5310014"
Tampa,Florida,Port Saint Lucie,FL,256.479,9563,"27.9505229,-82.4571556","27.273032,-80.3582165"
Calhoun,GA,Tampa,Florida,843.446,27282,"34.5027877,-84.9510138","27.9505229,-82.4571556"
Tampa,Florida,Tampa,FL,0.0,0,"27.9505502,-82.457253","27.9505502,-82.457253"
Tampa,Florida,Rockledge,FL,205.488,7316,"27.9505229,-82.4571556","28.3164475,-80.7266545"
Austell,GA,Tampa,Florida,760.149,24597,"33.8125577,-84.6345308","27.9505229,-82.4571556"
Tampa,Florida,Fort Pierce,FL,244.938,9562,"27.9505229,-82.4571556","27.4467027,-80.3256997"
Atlanta,GA,Tampa,Florida,733.734,23416,"33.748444,-84.3876568","27.9505229,-82.4571556"
Fairburn,GA,Tampa,Florida,739.78,23828,"33.5671325,-84.5811126","27.9505229,-82.4571556"
Lithia Springs,GA,Tampa,Florida,761.014,24455,"33.7941201,-84.6605532","27.9505229,-82.4571556"
Tampa,Florida,ST PETERSBURG,FL,38.278,1593,"27.9505229,-82.4571556","27.7676006,-82.64015909999999"
Duffield,VA,Tampa,Florida,1188.091,40348,"36.7189547,-82.7960449","27.9505229,-82.4571556"
Tampa,Florida,Eustis,FL,155.041,6528,"27.9505229,-82.4571556","28.8527051,-81.68535279999999"
Carey,OH,Tampa,Florida,1753.697,56889,"40.9525355,-83.3824301","27.9505229,-82.4571556"
Knoxville,TN,Tampa,Florida,1076.865,34580,"35.9606228,-83.9207782","27.9505229,-82.4571556"
Lithonia,GA,Tampa,Florida,742.678,23892,"33.7124192,-84.105312","27.9505229,-82.4571556"
Norcross,GA,Tampa,Florida,758.213,24505,"33.9411189,-84.21375379999999","27.9505229,-82.4571556"
Tampa,Florida,Palm City,FL,273.288,10170,"27.9505229,-82.4571556","27.1679128,-80.26615799999999"
Chattanooga,TN,Tampa,Florida,923.024,29700,"35.045063,-85.3112252","27.9505229,-82.4571556"
Tampa,Florida,Winter Haven,FL,79.664,3316,"27.9505229,-82.4571556","28.0252024,-81.7327074"
La Grange,IL,Tampa,Florida,1891.576,62071,"41.8050325,-87.86928259999999","27.9505229,-82.4571556"
Charlotte,NC,Tampa,Florida,924.936,31129,"35.2271328,-80.8431751","27.9505229,-82.4571556"
Salem,SC,Tampa,Florida,937.942,30753,"34.8898617,-82.97648840000001","27.9505229,-82.4571556"
Miami,FL,Tampa,Florida,451.683,14758,"25.7617059,-80.1918211","27.9505229,-82.4571556"
Tampa,Florida,Sanford,FL,174.455,6465,"27.9505229,-82.4571556","28.80264889999999,-81.26945309999999"
Mebane,NC,Tampa,Florida,1113.389,37049,"36.0967651,-79.26964439999999","27.9505229,-82.4571556"
Tampa,Florida,Plant City,FL,40.859,1647,"27.9505229,-82.4571556","28.0183905,-82.11284719999999"
Murray,KY,Tampa,Florida,1319.323,43103,"36.6103707,-88.3147819","27.9505229,-82.4571556"
Mooresville,NC,Tampa,Florida,967.744,32581,"35.5820368,-80.8140998","27.9505229,-82.4571556"
Monticello,GA,Tampa,Florida,678.145,21934,"33.3048992,-83.68336939999999","27.9505229,-82.4571556"
McDonough,GA,Tampa,Florida,689.591,22121,"33.4473412,-84.147234","27.9505229,-82.4571556"
Tampa,Florida,Melbourne,FL,232.6,8427,"27.9505229,-82.4571556","28.0836273,-80.6081908"
Brundidge,AL,Tampa,Florida,674.852,22796,"31.7201934,-85.8160568","27.9505229,-82.4571556"
Gainesville,GA,Tampa,Florida,813.949,26189,"34.297884,-83.8240575","27.9505229,-82.4571556"
Greenville,SC,Tampa,Florida,959.849,31177,"34.852672,-82.3941676","27.9505229,-82.4571556"
Tampa,Florida,Umatilla,FL,159.695,6770,"27.9505229,-82.4571556","28.9294317,-81.6656153"
Tampa,Florida,Punta Gorda,FL,166.673,5621,"27.9505229,-82.4571556","26.9297834,-82.0453617"
Ooltewah,TN,Tampa,Florida,925.708,29790,"35.0715409,-85.0812574","27.9505229,-82.4571556"
Jasper,AL,Tampa,Florida,1032.304,33136,"33.8312185,-87.2774565","27.9505229,-82.4571556"
Cleveland,TN,Tampa,Florida,927.243,30357,"35.1595316,-84.876602","27.9505229,-82.4571556"
Decatur,AL,Tampa,Florida,1105.842,35524,"34.6057804,-86.9835059","27.9505229,-82.4571556"
Danville,IL,Tampa,Florida,1634.399,55183,"40.1244451,-87.62998180000001","27.9505229,-82.4571556"
Tampa,Florida,Clewiston,FL,284.616,9984,"27.9505229,-82.4571556","26.7542265,-80.9336752"
Augusta,GA,Tampa,Florida,719.542,25822,"33.4734694,-82.0104362","27.9505229,-82.4571556"
Aurora,IL,Tampa,Florida,1939.344,63732,"41.7605376,-88.3201101","27.9505229,-82.4571556"
Tampa,Florida,Leesburg,FL,138.393,5200,"27.9505229,-82.4571556","28.8108259,-81.8780156"
Black Mountain,NC,Tampa,Florida,1040.381,34913,"35.6180166,-82.3210153","27.9505229,-82.4571556"
Adairsville,GA,Tampa,Florida,830.955,26743,"34.3686862,-84.9341084","27.9505229,-82.4571556"
LA VERGNE,TN,Tampa,Florida,1107.664,35968,"36.0156057,-86.5818218","27.9505229,-82.4571556"
La Grange,GA,Tampa,Florida,716.557,24409,"33.0362454,-85.03223559999999","27.9505229,-82.4571556"
Kutztown,PA,Tampa,Florida,1714.538,57520,"40.5172965,-75.7773795","27.9505229,-82.4571556"
Asheville,NC,Tampa,Florida,1019.781,34392,"35.594981,-82.5514626","27.9505229,-82.4571556"
Asheboro,NC,Tampa,Florida,988.415,34074,"35.7079352,-79.8137384","27.9505229,-82.4571556"
Johnsonville,SC,Tampa,Florida,823.021,28091,"33.8179461,-79.44932969999999","27.9505229,-82.4571556"
Tampa,Florida,North Fort Myers,FL,198.105,6922,"27.9505229,-82.4571556","26.6672622,-81.8801417"
Jacksonville,FL,Tampa,Florida,321.788,11566,"30.332119,-81.65562849999999","27.9505229,-82.4571556"
Jacksonville,NC,Tampa,Florida,1073.128,36702,"34.754113,-77.4302604","27.9505229,-82.4571556"
Tampa,Florida,Venus,FL,213.119,8117,"27.9505229,-82.4571556","27.0671833,-81.3571138"
Tampa,Florida,Kissimmee,FL,117.448,4826,"27.9505229,-82.4571556","28.2919796,-81.40767269999999"
Jacksonville,TX,Tampa,Florida,1639.758,54589,"31.9637338,-95.2706123","27.9505229,-82.4571556"
Jefferson,GA,Tampa,Florida,824.008,26683,"34.1170938,-83.5723896","27.9505229,-82.4571556"
Tampa,Florida,Ruskin,FL,44.571,1822,"27.9505229,-82.4571556","27.7208665,-82.4332989"
Kansas City,MO,Tampa,Florida,2019.719,65709,"39.1004873,-94.5799495","27.9505229,-82.4571556"
Arlington,TX,Tampa,Florida,1815.394,59829,"32.7356093,-97.1080691","27.9505229,-82.4571556"
