Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Dallas,Texas,Waxahachie,TX,49.563,1978,"32.7759428,-96.7967532","32.386526,-96.8483316"
Bolingbrook,IL,Dallas,Texas,1445.996,49426,"41.69864219999999,-88.068366","32.7759428,-96.7967532"
Dallas,Texas,Dallas,TX,0.0,0,"32.7759428,-96.7967532","32.7759428,-96.7967532"
Fountain Inn,SC,Dallas,Texas,1503.564,49716,"34.6889922,-82.19569600000001","32.7759428,-96.7967532"
Dallas,Texas,Mesquite,TX,22.335,1207,"32.7759428,-96.7967532","32.766801,-96.5991641"
Chicago,IL,Dallas,Texas,1556.641,51282,"41.878114,-87.6297778","32.7759428,-96.7967532"
Duncan,SC,Dallas,Texas,1520.936,49859,"34.9378816,-82.1449248","32.7759428,-96.7967532"
Dallas,Texas,Grand Prairie,TX,21.192,1075,"32.7759428,-96.7967532","32.7457398,-96.99776229999999"
Dallas,Texas,Hutchins,TX,18.731,902,"32.7759428,-96.7967532","32.6493061,-96.71303560000001"
Vonore,TN,Dallas,Texas,1371.215,45500,"35.5900679,-84.2418521","32.7759428,-96.7967532"
Dallas,Texas,Fort Worth,TX,51.665,2023,"32.7759428,-96.7967532","32.7554853,-97.33077229999999"
Fort Worth,TX,Dallas,Texas,52.409,2115,"32.7554853,-97.33077229999999","32.7759428,-96.7967532"
Commerce,CA,Dallas,Texas,2306.811,75314,"34.0005657,-118.1597647","32.7759428,-96.7967532"
Dallas,Texas,Irving,TX,21.514,1177,"32.7759428,-96.7967532","32.8140167,-96.94870399999999"
Houston,TX,Dallas,Texas,384.816,12572,"29.76043,-95.3698084","32.7759428,-96.7967532"
Dallas,Texas,Tyler,TX,157.656,5772,"32.7759428,-96.7967532","32.3512993,-95.3006258"
Forest Park,IL,Dallas,Texas,1482.222,50734,"41.8794714,-87.81367","32.7759428,-96.7967532"
Dallas,Texas,Garland,TX,30.491,1713,"32.7759428,-96.7967532","32.9126917,-96.63886099999999"
Chester,SC,Dallas,Texas,1624.261,53770,"34.704819,-81.214214","32.7759428,-96.7967532"
Denver,CO,Dallas,Texas,1280.624,43140,"39.7411913,-104.9879949","32.7759428,-96.7967532"
De Kalb,IL,Dallas,Texas,1461.476,49901,"41.92950769999999,-88.7499304","32.7759428,-96.7967532"
Dallas,TX,Dallas,Texas,0.0,0,"32.7759428,-96.7967532","32.7759428,-96.7967532"
