Date;Weekly U.S. No 2 Diesel Retail Prices (Dollars per Gallon);Weekly East Coast No 2 Diesel Retail Prices (Dollars per Gallon);Weekly New England (PADD 1A) No 2 Diesel Retail Prices (Dollars per Gallon);Weekly Central Atlantic (PADD 1B) No 2 Diesel Retail Prices (Dollars per Gallon);Weekly Lower Atlantic (PADD 1C) No 2 Diesel Retail Prices (Dollars per Gallon);Weekly Midwest No 2 Diesel Retail Prices (Dollars per Gallon);Weekly Gulf Coast No 2 Diesel Retail Prices (Dollars per Gallon);Weekly Rocky Mountain No 2 Diesel Retail Prices (Dollars per Gallon);Weekly West Coast No 2 Diesel Retail Prices (Dollars per Gallon);Weekly California No 2 Diesel Retail Prices (Dollars per Gallon);Weekly West Coast (PADD 5) Except California No 2 Diesel Retail Prices (Dollars per Gallon)
2019-01-07;3,013;3,069;3,216;3,242;2,921;2,869;2,821;3,026;3,528;3,805;3,18
2019-01-14;2,976;3,049;3,208;3,217;2,903;2,823;2,788;2,987;3,471;3,742;3,13
2019-01-21;2,965;3,037;3,191;3,215;2,884;2,807;2,79;2,944;3,463;3,739;3,115
2019-01-28;2,965;3,05;3,188;3,237;2,893;2,806;2,789;2,911;3,448;3,726;3,099
2019-02-04;2,966;3,038;3,176;3,227;2,879;2,839;2,779;2,883;3,435;3,711;3,087
2019-02-11;2,966;3,031;3,161;3,225;2,872;2,849;2,776;2,87;3,435;3,714;3,084
2019-02-18;3,006;3,073;3,165;3,256;2,927;2,904;2,809;2,887;3,458;3,739;3,104
2019-02-25;3,048;3,094;3,171;3,286;2,949;2,969;2,849;2,913;3,493;3,772;3,141
2019-03-04;3,076;3,119;3,177;3,301;2,985;3,014;2,87;2,939;3,503;3,779;3,155
2019-03-11;3,079;3,123;3,183;3,315;2,981;3,011;2,881;2,939;3,505;3,778;3,162
2019-03-18;3,07;3,124;3,2;3,313;2,981;2,992;2,869;2,944;3,497;3,781;3,139
2019-03-25;3,08;3,132;3,214;3,31;2,995;2,993;2,876;2,974;3,526;3,819;3,156
2019-04-01;3,078;3,127;3,196;3,309;2,991;2,984;2,872;3,007;3,541;3,849;3,153
2019-04-08;3,093;3,137;3,193;3,324;2,998;2,993;2,879;3,028;3,591;3,91;3,189
2019-04-15;3,118;3,153;3,205;3,342;3,015;3,01;2,899;3,082;3,651;3,967;3,252
2019-04-22;3,147;3,174;3,217;3,37;3,033;3,042;2,917;3,143;3,696;4,003;3,309
2019-04-29;3,169;3,194;3,236;3,385;3,057;3,058;2,939;3,183;3,73;4,035;3,346
2019-05-06;3,171;3,19;3,245;3,379;3,051;3,064;2,927;3,186;3,765;4,097;3,345
2019-05-13;3,16;3,176;3,238;3,365;3,035;3,046;2,905;3,181;3,79;4,136;3,355
2019-05-20;3,163;3,176;3,238;3,375;3,03;3,049;2,907;3,192;3,794;4,145;3,352
2019-05-27;3,151;3,164;3,225;3,36;3,02;3,038;2,893;3,181;3,782;4,134;3,338
2019-06-03;3,136;3,153;3,219;3,344;3,011;3,026;2,875;3,163;3,76;4,109;3,32
2019-06-10;3,105;3,125;3,185;3,308;2,989;3,002;2,843;3,114;3,715;4,058;3,282
2019-06-17;3,07;3,099;3,153;3,282;2,964;2,957;2,82;3,072;3,666;4,006;3,238
2019-06-24;3,043;3,079;3,136;3,258;2,946;2,926;2,797;3,03;3,631;3,968;3,206
2019-07-01;3,042;3,08;3,135;3,27;2,941;2,924;2,803;2,998;3,628;3,963;3,205
2019-07-08;3,055;3,081;3,134;3,275;2,94;2,968;2,804;2,98;3,624;3,953;3,208
2019-07-15;3,051;3,08;3,131;3,272;2,941;2,956;2,805;2,975;3,624;3,952;3,209
2019-07-22;3,044;3,072;3,122;3,259;2,937;2,948;2,804;2,978;3,611;3,939;3,198
2019-07-29;3,034;3,059;3,106;3,246;2,924;2,94;2,793;2,967;3,606;3,94;3,186
2019-08-05;3,032;3,055;3,107;3,233;2,923;2,942;2,787;2,965;3,605;3,94;3,182
2019-08-12;3,011;3,034;3,073;3,215;2,904;2,924;2,763;2,94;3,58;3,909;3,164
