Count,Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
2439,Bedford Park,IL,Indianapolis,IN,297.568,10476.0,"41.7709847,-87.81737989999999","39.767963,-86.1581422"
757,Elwood,IL,Plainfield,IN,298.635,11548.0,"41.40392,-88.1116784","39.7042113,-86.3994623"
603,Bolingbrook,IL,Mount Vernon,IL,451.142,15066.0,"41.69864219999999,-88.068366","38.3169466,-88.90307899999999"
408,Bolingbrook,IL,Salt Lake City,UT,2224.162,73308.0,"41.69864219999999,-88.068366","40.76078,-111.8910002"
376,Bolingbrook,IL,Commerce,CA,3219.372,105382.0,"41.69864219999999,-88.068366","34.0005657,-118.1597647"
331,Bolingbrook,IL,Windsor,WI,253.321,8779.0,"41.69864219999999,-88.068366","43.2306264,-89.2649351"
315,Bolingbrook,IL,Moreno Valley,CA,3176.194,103959.0,"41.69864219999999,-88.068366","33.9427052,-117.2296718"
238,Bolingbrook,IL,Waxahachie,TX,1494.715,51162.0,"41.69864219999999,-88.068366","32.386526,-96.8483316"
232,Bolingbrook,IL,Jupiter,FL,2109.881,69034.0,"41.69864219999999,-88.068366","26.9342582,-80.0942098"
228,Bolingbrook,IL,Fountain Inn,SC,1196.712,41413.0,"41.69864219999999,-88.068366","34.6889922,-82.19569600000001"
205,Bedford Park,IL,Beloit,WI,170.344,6181.0,"41.7709847,-87.81737989999999","42.508322,-89.0317415"
203,Bolingbrook,IL,Orlando,FL,1879.196,61779.0,"41.69864219999999,-88.068366","28.5384081,-81.3789262"
200,Chicago,IL,Imperial,MO,512.916,17307.0,"41.878114,-87.6297778","38.3698975,-90.3784301"
185,Elwood,IL,Hazelwood,MO,418.004,13857.0,"41.40392,-88.1116784","38.7715622,-90.370826"
180,Bedford Park,IL,Grand Rapids,MI,295.882,10084.0,"41.7709847,-87.81737989999999","42.9633606,-85.66789170000001"
176,Grand Rapids,MI,HANOVER PARK,IL,339.249,11593.0,"42.9633606,-85.66789170000001","41.9994816,-88.1450734"
175,Bolingbrook,IL,Windsor,CT,1478.301,50212.0,"41.69864219999999,-88.068366","41.8526487,-72.6438934"
170,Bolingbrook,IL,Woodland,CA,3285.16,108305.0,"41.69864219999999,-88.068366","38.6785134,-121.7731302"
